sampleId	libraryId	libraryType	libraryTreatment	sequencingPlatform	sequencingSetup	extraction_batch	library_batch	secondary_sample_accession	run_accession	study_accession
LIB007.A0135	LIB007.A0135	dsDNA	none	NextSeq500	PE	NA	14877	ERS4260699	ERR3839758	PRJEB34569
EXB002.A1101	EXB002.A1101	dsDNA	none	HiSeq4000	SE	135	144	ERS4260709	ERR3839768	PRJEB34569
LIB009.A0102	LIB009.A0102	dsDNA	none	HiSeq4000	SE	NA	144	ERS4260711	ERR3839770	PRJEB34569
EXB015.A1701	EXB015.A1701	dsDNA	none	NextSeq500	PE	297	329	ERS4260673	ERR3839732	PRJEB34569
EXB015.A1901	EXB015.A1901	dsDNA	none	NextSeq500	PE	297	329	ERS4260674	ERR3839733	PRJEB34569
EXB015.A2201	EXB015.A2201	dsDNA	none	NextSeq500	PE	573	593	ERS4260677	ERR3839736	PRJEB34569
EXB015.A2301	EXB015.A2301	dsDNA	none	NextSeq500	PE	612	634	ERS4260678	ERR3839737	PRJEB34569
EXB020.A0102	EXB020.A0102	dsDNA	none	NextSeq500	PE	219	329	ERS12841710	ERR10114867	PRJEB55583
EXB021.A0102	EXB021.A0102	dsDNA	none	NextSeq500	PE	219	329	ERS12841711	ERR10114868	PRJEB55583
LIB007.A0117	LIB007.A0117	dsDNA	none	NextSeq500	PE	NA	567	ERS4260692	ERR3839751	PRJEB34569
LIB007.A0118	LIB007.A0118	dsDNA	none	NextSeq500	PE	NA	593	ERS4260693	ERR3839752	PRJEB34569
LIB007.A0119	LIB007.A0119	dsDNA	none	NextSeq500	PE	NA	634	ERS4260694	ERR3839753	PRJEB34569
LIB002.A0113	LIB002.A0113	ssDNA	none	HiSeq4000	PE	NA	12481	ERS12841713	ERR10114870	PRJEB55583
LIB002.A0114	LIB002.A0114	ssDNA	none	HiSeq4000	PE	NA	12481	ERS12841714	ERR10114871	PRJEB55583
LIB002.A0115	LIB002.A0115	ssDNA	none	HiSeq4000	PE	NA	12481	ERS12841715	ERR10114872	PRJEB55583
LIB002.A0116	LIB002.A0116	ssDNA	none	HiSeq4000	PE	NA	12481	ERS12841716	ERR10114873	PRJEB55583
LIB007.A0125	LIB007.A0125	dsDNA	none	NextSeq500	PE	NA	1839	ERS11702825	ERR10114874	ERA12786294
LIB007.A0127	LIB007.A0127	dsDNA	none	NextSeq500	PE	NA	9744	ERS12841717	ERR10114875	PRJEB55583
LIB007.A0151	LIB007.A0151	dsDNA	none	NextSeq500	PE	NA	21691	ERS12841718	ERR10114876	PRJEB55583
EXB037.A3701	EXB037.A3701	dsDNA	none	NextSeq500	PE	22972	22990	ERS12841712	ERR10114869	PRJEB55583
LIB030.A0121	LIB030.A0121	dsDNA	none	NextSeq500	PE	NA	23003	ERS12841719	ERR10114877	PRJEB55583
