sample	metabat2	maxbin2	concoct
BAN001	1	2	71
BSQ001	1	2	24
DLV001	0	0	0
DLV002	0	0	0
ECO002	17	15	29
ECO004	13	15	31
ECO006	0	0	1
ECO010	8	8	13
EMN001	42	49	56
ESA003	0	2	7
ESA004	0	2	10
ESA006	5	4	16
ESA007	3	3	14
ESA008	3	3	12
FUM001	0	0	1
FUM002	15	12	22
FUM003	5	6	25
GOY005	36	47	69
GOY006	6	5	21
GUE001	1	2	6
JAE006	47	40	46
JAE007	45	40	38
JAE008	56	60	62
JAE009	59	65	57
JAE010	44	46	43
JAE012	51	47	49
JAE013	29	27	41
JAE014	65	68	68
JAE015	55	55	54
JAE016	76	69	61
LIS001	5	7	15
LIS002	2	4	7
LIS003	2	3	15
MOA001	8	8	16
OAK001	0	0	1
OAK002	12	10	27
OAK003	11	8	20
OAK004	2	3	13
OAK005	16	15	26
OFN001	32	32	54
PES001	28	26	38
PLV001	27	25	47
PYK001	1	2	8
PYK002	8	8	15
PYK003	9	7	14
PYK004	9	6	18
PYK005	14	13	20
RIG001	30	25	45
SPM001	0	0	0
SPM002	1	2	77
TAF008	20	13	32
TAF016	0	0	0
TAF017	1	2	46
TAF018	4	3	20
VLC001	65	66	68
VLC002	18	21	25
VLC003	34	38	43
VLC004	63	78	62
VLC005	61	62	65
VLC008	63	67	58
VLC009	55	54	56
VLC010	21	25	28
VLD001	2	2	12
ZAF001	1	2	22
