sample	R0	R1	R2
EXB002.A1101	280149	0	0
EXB015.A1701	0	320157	320157
EXB015.A1901	0	410403	410403
EXB015.A2201	0	621550	621550
EXB015.A2301	0	212602	212602
EXB020.A0102	0	495461	495461
EXB021.A0102	0	532944	532944
EXB037.A3701	0	865429	865429
LIB002.A0113	0	139838	139838
LIB002.A0114	0	128664	128664
LIB002.A0115	0	86842	86842
LIB002.A0116	0	90965	90965
LIB007.A0117	0	84351	84351
LIB007.A0118	0	531186	531186
LIB007.A0119	0	299994	299994
LIB007.A0125	0	604835	604835
LIB007.A0127	0	570831	570831
LIB007.A0135	0	969016	969016
LIB007.A0151	0	942072	942072
LIB009.A0102	204264	0	0
LIB030.A0121	0	367055	367055
