sample	R1	R2	R0
BAN001-alldata	12465206	12465206	0
BAN001-nonUDG	12465206	12465206	0
BSQ001-alldata	10391436	10391436	0
BSQ001-nonUDG	10391436	10391436	0
DLV001-alldata	792208	792208	0
DLV001-nonUDG	792208	792208	0
DLV002-alldata	73154	73154	0
DLV002-nonUDG	73154	73154	0
ECO002-alldata	72163006	72163006	0
ECO002-nonUDG	24742222	24742222	0
ECO004-alldata	77459070	77459070	0
ECO004-nonUDG	20961499	20961499	0
ECO006-alldata	10577917	10577917	0
ECO006-nonUDG	10577917	10577917	0
ECO010-alldata	21752003	21752003	0
ECO010-nonUDG	12836144	12836144	0
EMN001-alldata	106699412	106699412	0
EMN001-nonUDG	12034285	12034285	0
ESA003-alldata	9993085	9993085	0
ESA003-nonUDG	9993085	9993085	0
ESA004-alldata	7851680	7851680	0
ESA004-nonUDG	7851680	7851680	0
ESA006-alldata	10931483	10931483	0
ESA006-nonUDG	10931483	10931483	0
ESA007-alldata	9603776	9603776	0
ESA007-nonUDG	9603776	9603776	0
ESA008-alldata	9096918	9096918	0
ESA008-nonUDG	9096918	9096918	0
FUM001-alldata	10916660	10916660	0
FUM001-nonUDG	10916660	10916660	0
FUM002-alldata	41873319	41873319	37168049
FUM002-nonUDG	18579748	18579748	37168049
FUM003-alldata	19045094	19045094	0
FUM003-nonUDG	19045094	19045094	0
GOY005-alldata	3329269	3329269	334981213
GOY005-nonUDG	3329269	3329269	9155327
GOY006-alldata	4969214	4969214	36505299
GOY006-nonUDG	4969214	4969214	36505299
GUE001-alldata	10548616	10548616	0
GUE001-nonUDG	10548616	10548616	0
JAE006-alldata	69903213	69903213	0
JAE006-nonUDG	69903213	69903213	0
JAE007-alldata	53596744	53596744	0
JAE007-nonUDG	53596744	53596744	0
JAE008-alldata	51027015	51027015	0
JAE008-nonUDG	51027015	51027015	0
JAE009-alldata	52424828	52424828	0
JAE009-nonUDG	52424828	52424828	0
JAE010-alldata	49514518	49514518	0
JAE010-nonUDG	49514518	49514518	0
JAE012-alldata	47517290	47517290	0
JAE012-nonUDG	47517290	47517290	0
JAE013-alldata	31121363	31121363	0
JAE013-nonUDG	31121363	31121363	0
JAE014-alldata	52967604	52967604	0
JAE014-nonUDG	52967604	52967604	0
JAE015-alldata	45200391	45200391	0
JAE015-nonUDG	45200391	45200391	0
JAE016-alldata	73325142	73325142	0
JAE016-nonUDG	73325142	73325142	0
LIS001-alldata	10424374	10424374	0
LIS001-nonUDG	10424374	10424374	0
LIS002-alldata	11555612	11555612	0
LIS002-nonUDG	11555612	11555612	0
LIS003-alldata	10272356	10272356	0
LIS003-nonUDG	10272356	10272356	0
MOA001-alldata	11620590	11620590	2754179
MOA001-nonUDG	11620590	11620590	2754179
OAK001-alldata	11679766	11679766	0
OAK001-nonUDG	11679766	11679766	0
OAK002-alldata	92004962	92004962	0
OAK002-nonUDG	14598047	14598047	0
OAK003-alldata	17339139	17339139	0
OAK003-nonUDG	17339139	17339139	0
OAK004-alldata	13814064	13814064	0
OAK004-nonUDG	13814064	13814064	0
OAK005-alldata	44790297	44790297	0
OAK005-nonUDG	16975204	16975204	0
OFN001-alldata	119900097	119900097	0
OFN001-nonUDG	12394961	12394961	0
PES001-alldata	48211737	48211737	53010979
PES001-nonUDG	3063488	3063488	53010979
PLV001-alldata	93545262	93545262	0
PLV001-nonUDG	11273144	11273144	0
PYK001-alldata	15199812	15199812	0
PYK001-nonUDG	15199812	15199812	0
PYK002-alldata	17103841	17103841	0
PYK002-nonUDG	17103841	17103841	0
PYK003-alldata	14527291	14527291	0
PYK003-nonUDG	14527291	14527291	0
PYK004-alldata	16416361	16416361	0
PYK004-nonUDG	16416361	16416361	0
PYK005-alldata	20994225	20994225	0
PYK005-nonUDG	20994225	20994225	0
RIG001-alldata	103178414	103178414	0
RIG001-nonUDG	25695774	25695774	0
SPM001-alldata	4570371	4570371	0
SPM001-nonUDG	4570371	4570371	0
SPM002-alldata	3104028	3104028	0
SPM002-nonUDG	1547463	1547463	0
TAF008-alldata	62556823	62556823	0
TAF008-nonUDG	11413538	11413538	0
TAF016-alldata	4564524	4564524	0
TAF016-nonUDG	4564524	4564524	0
TAF017-alldata	9263469	9263469	0
TAF017-nonUDG	9263469	9263469	0
TAF018-alldata	14010995	14010995	0
TAF018-nonUDG	14010995	14010995	0
VLC001-alldata	33748624	33748624	0
VLC001-nonUDG	33748624	33748624	0
VLC002-alldata	15649384	15649384	0
VLC002-nonUDG	15649384	15649384	0
VLC003-alldata	25877798	25877798	0
VLC003-nonUDG	25877798	25877798	0
VLC004-alldata	42998930	42998930	0
VLC004-nonUDG	42998930	42998930	0
VLC005-alldata	43655477	43655477	0
VLC005-nonUDG	43655477	43655477	0
VLC008-alldata	35254643	35254643	0
VLC008-nonUDG	35254643	35254643	0
VLC009-alldata	33154103	33154103	0
VLC009-nonUDG	33154103	33154103	0
VLC010-alldata	18909676	18909676	0
VLC010-nonUDG	18909676	18909676	0
VLD001-alldata	10745070	10745070	0
VLD001-nonUDG	10745070	10745070	0
ZAF001-alldata	16822814	16822814	0
ZAF001-nonUDG	10218646	10218646	0
