sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
BAN001	0	0	0	0	0	0	0	4	9	21	15	95	222	154	275	202	250	245	138.0	129.0	446.0
BSQ001	0	0	0	0	0	0	0	17	27	126	92	969	2415	1393	2189	1377	1753	1539	740.0	344.0	889.0
DLV001	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	2	3	2.0	1.0	0.0
DLV002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.0	0.0	1.0
ECO002	0	0	0	0	0	0	0	51	31	120	101	1333	2264	1557	2218	1132	1456	1290	840.0	532.0	1752.0
ECO004	0	0	0	0	0	0	1	64	62	233	154	1392	2902	1684	2803	1529	2065	1790	930.0	490.0	1727.0
ECO006	0	0	0	0	0	0	0	0	1	2	0	3	14	6	15	13	12	18	6.0	5.0	12.0
ECO010	0	0	0	0	0	0	1	32	9	84	34	376	563	314	801	369	726	823	573.0	355.0	1088.0
EMN001	0	0	0	0	0	0	0	308	697	1385	1687	9476	17444	16574	20328	15943	15763	12670	7057.0	3307.0	5447.0
ESA003	0	0	0	0	0	0	0	28	25	120	80	625	1415	882	1623	947	1426	1384	693.0	275.0	502.0
ESA004	0	0	0	0	0	0	0	6	7	37	20	170	378	246	529	321	544	687	487.0	226.0	247.0
ESA006	0	0	0	0	0	0	0	34	41	146	134	801	1534	1112	2035	1402	2101	2444	1799.0	1189.0	975.0
ESA007	0	0	0	0	0	0	0	28	48	104	81	739	1713	1374	1963	1326	1460	1255	755.0	368.0	450.0
ESA008	0	0	0	0	0	0	0	32	29	115	60	568	1260	785	1541	988	1539	1677	1026.0	446.0	646.0
FUM001	0	0	0	0	0	0	0	2	11	9	4	116	221	151	189	104	115	118	71.0	47.0	31.0
FUM002	0	0	0	0	0	0	0	59	77	235	222	1836	3764	3458	4260	3071	3112	2885	1684.0	829.0	1255.0
FUM003	0	0	0	0	0	0	0	8	9	57	16	192	498	230	472	254	340	365	197.0	121.0	309.0
GOY005	0	0	0	0	0	0	0	93	275	487	719	9429	17536	14194	14514	10613	9842	6805	2881.0	647.0	928.0
GOY006	0	0	0	0	0	0	0	10	11	55	50	510	1325	1107	1382	928	944	816	345.0	143.0	240.0
GUE001	0	0	0	0	0	0	0	23	59	134	117	451	829	682	1124	880	1276	1502	1101.0	739.0	601.0
LIS001	0	0	0	0	0	0	0	32	31	159	107	1143	2413	1440	2470	1576	2413	2501	1559.0	787.0	900.0
LIS002	0	0	0	0	0	0	0	22	12	63	35	252	448	395	799	552	871	941	725.0	447.0	618.0
LIS003	0	0	0	0	0	0	0	19	12	57	22	216	412	280	800	565	1104	1289	853.0	380.0	517.0
MOA001	1	0	0	0	0	0	0	36	30	159	109	689	1381	907	1639	1109	1670	1787	1160.0	731.0	1100.0
OAK001	0	0	0	0	0	0	0	3	0	2	3	16	52	27	46	13	28	22	7.0	6.0	42.0
OAK002	0	0	0	0	0	0	0	84	117	267	296	2636	5755	6051	6620	4749	4053	3106	1434.0	468.0	1059.0
OAK003	0	0	0	0	0	0	0	50	49	185	108	852	1583	1171	2380	1648	2460	2800	1923.0	1134.0	1777.0
OAK004	0	0	0	0	0	0	0	13	19	84	77	634	1099	768	1137	646	883	943	636.0	375.0	548.0
OAK005	0	0	0	0	0	0	0	78	74	177	248	2133	4391	4096	4778	3457	3299	2354	1117.0	467.0	1137.0
OFN001	0	0	0	0	0	0	0	134	294	631	694	5724	10534	8704	10482	7499	7604	5902	2969.0	1459.0	3858.0
PES001	0	0	0	0	0	0	0	174	459	1013	1198	6074	11402	10945	12981	10303	10467	9040	4876.0	1957.0	3668.0
PLV001	7	0	0	0	0	0	0	201	457	943	1303	8344	14015	11722	13271	9370	9110	7066	4001.0	2080.0	3053.0
PYK001	0	0	0	0	0	0	0	19	18	82	39	508	1418	672	1438	841	1243	1212	595.0	292.0	661.0
PYK002	0	0	0	0	0	0	0	54	27	138	100	866	1639	1181	1979	1213	1676	1843	1341.0	844.0	1103.0
PYK003	0	0	0	0	0	0	0	38	38	169	126	724	1372	841	1763	1394	2456	3207	2569.0	1497.0	1277.0
PYK004	0	0	0	0	0	0	0	50	69	243	191	1502	3020	2402	3743	2520	3455	3858	2512.0	1361.0	1574.0
PYK005	0	0	0	0	0	0	1	50	59	213	202	1441	2767	2055	2573	1725	2348	2679	1958.0	1514.0	1736.0
RIG001	0	0	0	0	0	0	0	136	207	545	716	5880	9689	7464	8800	5632	5885	5093	2844.0	1490.0	2801.0
SPM001	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0.0	0.0	0.0
SPM002	0	0	0	0	0	0	0	1	4	10	27	240	373	231	228	136	125	106	58.0	38.0	95.0
TAF008	0	0	0	0	0	0	0	35	44	100	108	1557	2469	1905	2297	1317	1468	1308	732.0	433.0	908.0
TAF016	0	0	0	0	0	0	0	0	0	0	1	4	8	4	4	0	3	1	1.0	0.0	2.0
TAF017	0	0	0	0	0	0	0	2	3	5	2	50	40	33	91	70	82	115	84.0	64.0	84.0
TAF018	0	0	0	0	0	0	0	53	77	260	172	1093	2087	1364	2188	1359	2056	2210	1446.0	855.0	1598.0
VLD001	0	0	0	0	0	0	0	29	26	108	75	407	813	552	1009	603	841	975	640.0	346.0	559.0
ZAF001	0	0	0	0	0	0	0	5	8	8	11	75	186	78	168	80	119	89	57.0	32.0	122.0
