sample	nContigs
BAN001	1453
BSQ001	8270
DLV001	8
DLV002	1
ECO002	10217
ECO004	12446
ECO006	80
ECO010	4602
EMN001	43434
ESA003	5280
ESA004	2108
ESA006	7634
ESA007	5389
ESA008	6214
FUM001	617
FUM002	14655
FUM003	1892
GOY005	44237
GOY006	5057
GUE001	2962
LIS001	9602
LIS002	3925
LIS003	3643
MOA001	6707
OAK001	206
OAK002	17498
OAK003	10133
OAK004	4099
OAK005	13123
OFN001	28585
PES001	29461
PLV001	26132
PYK001	5988
PYK002	8118
PYK003	8632
PYK004	14008
PYK005	10682
RIG001	27639
SPM001	2
SPM002	462
TAF008	9333
TAF016	13
TAF017	471
TAF018	7673
VLD001	3894
ZAF001	669
